Model,Observations,RMSE,MAE,R2
Global RF,228,8.605904393572784,5.823791248268571,0.5029287370924291
HMM + RF,228,8.613098986911009,5.794433517711806,0.5020972799190013
Historical 5D Benchmark,228,9.462943282769652,6.714073113425734,0.39899498456401183
EWMA Benchmark,228,10.17208935226137,6.477057385320707,0.3055420486755006
