Model,RMSE,MAE,R2,RMSE improvement vs historical benchmark (%)
HMM + RF,9.25697965174454,5.913607347370169,0.4317769302587874,11.690904792210285
Global RF,9.278388273400575,5.916571349829483,0.429145631492185,11.486672301785182
EWMA Benchmark,10.475808090120934,6.523043264742043,0.27229507944528275,0.06360942635536572
Historical 5D Benchmark,10.48247593292971,6.973106202952064,0.271368417521498,0.0
